id	area	entry	entry_end	entry_size_bytes	async	mangled	demangled
ipc_request_dispatch	ipc-dispatch	0x000000010013f9e4	0x000000010013fab0	204	true	$s11ComputerUse010ExecutableaB10IPCRequestPAAE6handle8ResponseQzyYaKF	(extension in ComputerUse):ComputerUse.ExecutableComputerUseIPCRequest.handle() async throws -> A.Response
perform_action_request	action-dispatch	0x000000010012df9c	0x000000010012dff8	92	true	$s17ComputerUseClient0aB26IPCAppPerformActionRequestV0aB0E6handle13senderContextAA0aB15IPCActionResultVAD0ab9IPCSenderJ0VSg_tYaKF	(extension in ComputerUse):ComputerUseClient.ComputerUseIPCAppPerformActionRequest.handle(senderContext: ComputerUse.ComputerUseIPCSenderContext?) async throws -> ComputerUseClient.ComputerUseIPCActionResult
get_skyshot_request	skyshot-dispatch	0x0000000100136904	0x0000000100136974	112	true	$s17ComputerUseClient0aB23IPCAppGetSkyshotRequestV0aB0E6handle13senderContextAA0aB16IPCSkyshotResultVAD0ab9IPCSenderJ0VSg_tYaKF	(extension in ComputerUse):ComputerUseClient.ComputerUseIPCAppGetSkyshotRequest.handle(senderContext: ComputerUse.ComputerUseIPCSenderContext?) async throws -> ComputerUseClient.ComputerUseIPCSkyshotResult
skyshot_capture_ax_tree	ax-capture	0x00000001001b6bfc	0x00000001001b6c1c	32	true	$s11ComputerUse16SkyshotOperationV13captureAXTree9treeCache14continuingFrom30performAccessibilityEnablementAA15SystemSelectionV0L7Support20TransformedUIElementV04TreeH0VSg_AJ0rS8RevisionCyALGSgSbtYaKF	ComputerUse.SkyshotOperation.captureAXTree(treeCache: AccessibilitySupport.TransformedUIElement.TreeCache?, continuingFrom: AccessibilitySupport.UIElementTreeRevision<AccessibilitySupport.TransformedUIElement>?, performAccessibilityEnablement: Swift.Bool) async throws -> ComputerUse.SystemSelection
skyshot_capture_screenshot	screenshot-capture	0x00000001001b7cec	0x00000001001b7d0c	32	true	$s11ComputerUse16SkyshotOperationV17captureScreenshot9imageSizeSo10CGImageRefaSo6CGSizeVSg_tYaKF	ComputerUse.SkyshotOperation.captureScreenshot(imageSize: __C.CGSize?) async throws -> __C.CGImageRef
wait_for_ui_to_settle	ui-settle	0x000000010064a280	0x000000010064a35c	220	true	$s20AccessibilitySupport20ApplicationUIElementV17waitForUIToSettle5delay17notificationDelay21includingScrollEventsAA011TransformedD0V9TreeCacheVSgSdSg_SdSbtYaKF	AccessibilitySupport.ApplicationUIElement.waitForUIToSettle(delay: Swift.Double?, notificationDelay: Swift.Double, includingScrollEvents: Swift.Bool) async throws -> AccessibilitySupport.TransformedUIElement.TreeCache?
