workflow	relation	entry	async_pointer	demangled	caveat
perform_action_request	compiled-async-target	0x00000001000747bc	0x0000000100d18090	ComputerUse.ComputerUseAppController.click(elementID: Swift.Int, type: ComputerUse.ComputerUseAppController.ClickType?, numberOfClicks: Swift.Int?, returnSkyshot: Swift.Bool) async throws -> ComputerUse.ComputerUseAppController.SkyshotCapture?	symbol presence only; not a direct edge from the bounded request entry
get_skyshot_request	compiled-async-target	0x000000010006ebe4	0x0000000100d18000	ComputerUse.ComputerUseAppController.updateSkyshot(treeCache: AccessibilitySupport.TransformedUIElement.TreeCache?, disableAXDiffing: Swift.Bool, skipScreenshot: Swift.Bool) async throws -> ComputerUse.ComputerUseAppController.SkyshotCapture	symbol presence only; not a direct edge from the bounded request entry
