category	evidence	address	type	mangled	demangled
focus-protection	D1	0000000100674c9c	T	$s20AccessibilitySupport25SystemFocusStealPreventerC015startPreventingD8Stealing3for010targetLostD7Handler0k6GaineddM0ys5Int32V_yycSgAJtFZ	static AccessibilitySupport.SystemFocusStealPreventer.startPreventingFocusStealing(for: Swift.Int32, targetLostFocusHandler: (() -> ())?, targetGainedFocusHandler: (() -> ())?) -> ()
focus-protection	D1	0000000100674ca0	T	$s20AccessibilitySupport25SystemFocusStealPreventerC21isAppCurrentlyFocusedySbs5Int32VFZ	static AccessibilitySupport.SystemFocusStealPreventer.isAppCurrentlyFocused(Swift.Int32) -> Swift.Bool
focus-protection	D1	0000000100674ca4	T	$s20AccessibilitySupport25SystemFocusStealPreventerC014stopPreventingD8Stealing3forys5Int32V_tFZ	static AccessibilitySupport.SystemFocusStealPreventer.stopPreventingFocusStealing(for: Swift.Int32) -> ()
focus-protection	D1	0000000100674d34	T	$s20AccessibilitySupport25SystemFocusStealPreventerC35startSuppressingMenuDismissalEvents3for7menuPIDys5Int32V_AHSgtFZ	static AccessibilitySupport.SystemFocusStealPreventer.startSuppressingMenuDismissalEvents(for: Swift.Int32, menuPID: Swift.Int32?) -> ()
focus-protection	D1	0000000100674df4	T	$s20AccessibilitySupport25SystemFocusStealPreventerC34stopSuppressingMenuDismissalEvents3forys5Int32V_tFZ	static AccessibilitySupport.SystemFocusStealPreventer.stopSuppressingMenuDismissalEvents(for: Swift.Int32) -> ()
focus-protection	D1	0000000100710df8	T	$s20AccessibilitySupport17UIElementProtocolPAAE6select2in3app13focusEnforceryAA06WindowC0V_AA011ApplicationC0VAA017SyntheticAppFocusI0CSgtYaKF	(extension in AccessibilitySupport):AccessibilitySupport.UIElementProtocol.select(in: AccessibilitySupport.WindowUIElement, app: AccessibilitySupport.ApplicationUIElement, focusEnforcer: AccessibilitySupport.SyntheticAppFocusEnforcer?) async throws -> ()
focus-protection	D1	0000000100711090	T	$s20AccessibilitySupport17UIElementProtocolPAAE18focusFieldIfNeeded2in3app0E8EnforceryAA06WindowC0V_AA011ApplicationC0VAA017SyntheticAppFocusK0CSgtYaKF	(extension in AccessibilitySupport):AccessibilitySupport.UIElementProtocol.focusFieldIfNeeded(in: AccessibilitySupport.WindowUIElement, app: AccessibilitySupport.ApplicationUIElement, focusEnforcer: AccessibilitySupport.SyntheticAppFocusEnforcer?) async throws -> ()
focus-protection	D1	00000001007114d0	T	$s20AccessibilitySupport17UIElementProtocolPAAE5focus2in3app0E8EnforceryAA06WindowC0V_AA011ApplicationC0VAA017SyntheticAppFocusH0CSgtYaKF	(extension in AccessibilitySupport):AccessibilitySupport.UIElementProtocol.focus(in: AccessibilitySupport.WindowUIElement, app: AccessibilitySupport.ApplicationUIElement, focusEnforcer: AccessibilitySupport.SyntheticAppFocusEnforcer?) async throws -> ()
focus-protection	D2	0010000000d49040	s	OBJC_IVAR_$__TtC20AccessibilitySupport25SyntheticAppFocusEnforcer.pid	OBJC_IVAR_$_AccessibilitySupport.SyntheticAppFocusEnforcer with unmangled suffix ".pid"
focus-protection	D2	0010000000d49048	s	OBJC_IVAR_$__TtC20AccessibilitySupport25SyntheticAppFocusEnforcer.frontmostApplicationTracker	OBJC_IVAR_$_AccessibilitySupport.SyntheticAppFocusEnforcer with unmangled suffix ".frontmostApplicationTracker"
focus-protection	D2	0010000000d49050	s	OBJC_IVAR_$__TtC20AccessibilitySupport25SyntheticAppFocusEnforcer.frontmostApplicationObserver	OBJC_IVAR_$_AccessibilitySupport.SyntheticAppFocusEnforcer with unmangled suffix ".frontmostApplicationObserver"
focus-protection	D2	0010000000d49058	s	OBJC_IVAR_$__TtC20AccessibilitySupport25SyntheticAppFocusEnforcer.clickEventTap	OBJC_IVAR_$_AccessibilitySupport.SyntheticAppFocusEnforcer with unmangled suffix ".clickEventTap"
focus-protection	D2	0010000000d49060	s	OBJC_IVAR_$__TtC20AccessibilitySupport25SyntheticAppFocusEnforcer._state	OBJC_IVAR_$_AccessibilitySupport.SyntheticAppFocusEnforcer with unmangled suffix "._state"
focus-protection	D2	0010000000d490b8	s	OBJC_IVAR_$__TtC20AccessibilitySupport25SystemFocusStealPreventer.disallowedThiefProcesses	OBJC_IVAR_$_AccessibilitySupport.SystemFocusStealPreventer with unmangled suffix ".disallowedThiefProcesses"
focus-protection	D2	0010000000d490c0	s	OBJC_IVAR_$__TtC20AccessibilitySupport25SystemFocusStealPreventer.systemState	OBJC_IVAR_$_AccessibilitySupport.SystemFocusStealPreventer with unmangled suffix ".systemState"
focus-protection	D2	0010000000d490c8	s	OBJC_IVAR_$__TtC20AccessibilitySupport25SystemFocusStealPreventer.systemProcessNotificationTap	OBJC_IVAR_$_AccessibilitySupport.SystemFocusStealPreventer with unmangled suffix ".systemProcessNotificationTap"
focus-protection	D2	0010000000d490d0	s	OBJC_IVAR_$__TtC20AccessibilitySupport25SystemFocusStealPreventer.viewBridgeKeyboardTap	OBJC_IVAR_$_AccessibilitySupport.SystemFocusStealPreventer with unmangled suffix ".viewBridgeKeyboardTap"
input-dispatch	D1	0000000100072880	T	$s11ComputerUse0aB13AppControllerC17prepareToInteract4with27cursorNextInteractionTiming15positionElementAA24RefetchableSkyshotAXTreeC_20AccessibilitySupport17UIElementProtocol_ptSi_AA0aB6CursorC0vjkL0OSgSbtYaKF	ComputerUse.ComputerUseAppController.prepareToInteract(with: Swift.Int, cursorNextInteractionTiming: ComputerUse.ComputerUseCursor.CursorNextInteractionTiming?, positionElement: Swift.Bool) async throws -> (ComputerUse.RefetchableSkyshotAXTree, AccessibilitySupport.UIElementProtocol)
input-dispatch	D1	00000001000747bc	T	$s11ComputerUse0aB13AppControllerC5click9elementID4type14numberOfClicks13returnSkyshotAC0M7CaptureVSgSi_AC9ClickTypeOSgSiSgSbtYaKF	ComputerUse.ComputerUseAppController.click(elementID: Swift.Int, type: ComputerUse.ComputerUseAppController.ClickType?, numberOfClicks: Swift.Int?, returnSkyshot: Swift.Bool) async throws -> ComputerUse.ComputerUseAppController.SkyshotCapture?
input-dispatch	D1	0000000100078104	T	$s11ComputerUse0aB13AppControllerC8setValue9elementID5value13returnSkyshot22autosubmitSearchFieldsAC0K7CaptureVSgSi_SSS2btYaKF	ComputerUse.ComputerUseAppController.setValue(elementID: Swift.Int, value: Swift.String, returnSkyshot: Swift.Bool, autosubmitSearchFields: Swift.Bool) async throws -> ComputerUse.ComputerUseAppController.SkyshotCapture?
input-dispatch	D1	0000000100079678	T	$s11ComputerUse0aB13AppControllerC21performKeyboardAction_4text8duration17waitForUIToSettle13returnSkyshotAC0O7CaptureVSgAC0fG0O_SSSgSiSgS2btYaKF	ComputerUse.ComputerUseAppController.performKeyboardAction(_: ComputerUse.ComputerUseAppController.KeyboardAction, text: Swift.String?, duration: Swift.Int?, waitForUIToSettle: Swift.Bool, returnSkyshot: Swift.Bool) async throws -> ComputerUse.ComputerUseAppController.SkyshotCapture?
input-dispatch	D1	000000010007b42c	T	$s11ComputerUse0aB13AppControllerC10selectText9elementID4text6prefix6suffix9selection13returnSkyshotAC0N7CaptureVSgSi_S2SSgAN0aB6Client0aB16IPCTextSelectionOSbtYaKF	ComputerUse.ComputerUseAppController.selectText(elementID: Swift.Int, text: Swift.String, prefix: Swift.String?, suffix: Swift.String?, selection: ComputerUseClient.ComputerUseIPCTextSelection, returnSkyshot: Swift.Bool) async throws -> ComputerUse.ComputerUseAppController.SkyshotCapture?
input-dispatch	D1	000000010007d404	T	$s11ComputerUse0aB13AppControllerC9moveMouse2to27cursorNextInteractionTimingySaySiGSg_AA0aB6CursorC0lijK0OtYaKF	ComputerUse.ComputerUseAppController.moveMouse(to: [Swift.Int]?, cursorNextInteractionTiming: ComputerUse.ComputerUseCursor.CursorNextInteractionTiming) async throws -> ()
input-dispatch	D1	000000010007eab8	T	$s11ComputerUse0aB13AppControllerC15leftMouseDownUp02isG013returnSkyshotAC0K7CaptureVSgSb_SbtYaKF	ComputerUse.ComputerUseAppController.leftMouseDownUp(isDown: Swift.Bool, returnSkyshot: Swift.Bool) async throws -> ComputerUse.ComputerUseAppController.SkyshotCapture?
input-dispatch	D1	000000010007f44c	T	$s11ComputerUse0aB13AppControllerC5click2at4with0E5Count9andDragTo13returnSkyshotAC0M7CaptureVSgSaySiGSg_So13CGMouseButtonVSiSo7CGPointVSgSbtYaKF	ComputerUse.ComputerUseAppController.click(at: [Swift.Int]?, with: __C.CGMouseButton, clickCount: Swift.Int, andDragTo: __C.CGPoint?, returnSkyshot: Swift.Bool) async throws -> ComputerUse.ComputerUseAppController.SkyshotCapture?
input-dispatch	D1	00000001000807e8	T	$s11ComputerUse0aB13AppControllerC6scroll6deltaX0F1YySi_SitYaKF	ComputerUse.ComputerUseAppController.scroll(deltaX: Swift.Int, deltaY: Swift.Int) async throws -> ()
input-dispatch	D1	000000010063fca8	T	$s20AccessibilitySupport20ApplicationUIElementV9sendClick2to2at13insideWebView9andDragTo11mouseButton5count5delay6window13focusEnforcer13virtualCursoryAC16MouseEventTargetV_So7CGPointVSbARSgSo07CGMouseP0VSis8DurationVSgAA06WindowD0VSgAA017SyntheticAppFocusU0CSgAA07VirtualW0_pSgtYaKF	AccessibilitySupport.ApplicationUIElement.sendClick(to: AccessibilitySupport.ApplicationUIElement.MouseEventTarget, at: __C.CGPoint, insideWebView: Swift.Bool, andDragTo: __C.CGPoint?, mouseButton: __C.CGMouseButton, count: Swift.Int, delay: Swift.Duration?, window: AccessibilitySupport.WindowUIElement?, focusEnforcer: AccessibilitySupport.SyntheticAppFocusEnforcer?, virtualCursor: AccessibilitySupport.VirtualCursor?) async throws -> ()
input-dispatch	D1	000000010067d4d0	T	$s20AccessibilitySupport16SynthesizedEventV5click2at9andDragTo11mouseButton5count5flags8inWindow12windowBounds0P22UsesFlippedCoordinatesACSo7CGPointV_ANSgSo07CGMouseK0VSiSo12CGEventFlagsVs6UInt32VSgSo6CGRectVSgSbtKFZ	static AccessibilitySupport.SynthesizedEvent.click(at: __C.CGPoint, andDragTo: __C.CGPoint?, mouseButton: __C.CGMouseButton, count: Swift.Int, flags: __C.CGEventFlags, inWindow: Swift.UInt32?, windowBounds: __C.CGRect?, windowUsesFlippedCoordinates: Swift.Bool) throws -> AccessibilitySupport.SynthesizedEvent
input-dispatch	D1	000000010067e778	T	$s20AccessibilitySupport16SynthesizedEventV6scroll2at6deltaX0G1Y8inWindow12windowBounds0J22UsesFlippedCoordinatesACSo7CGPointV_S2is6UInt32VSgSo6CGRectVSgSbtKFZ	static AccessibilitySupport.SynthesizedEvent.scroll(at: __C.CGPoint, deltaX: Swift.Int, deltaY: Swift.Int, inWindow: Swift.UInt32?, windowBounds: __C.CGRect?, windowUsesFlippedCoordinates: Swift.Bool) throws -> AccessibilitySupport.SynthesizedEvent
input-dispatch	D1	000000010067ea78	T	$s20AccessibilitySupport16SynthesizedEventV9moveMouse2to8inWindow12windowBounds0J22UsesFlippedCoordinatesACSo7CGPointV_s6UInt32VSgSo6CGRectVSgSbtKFZ	static AccessibilitySupport.SynthesizedEvent.moveMouse(to: __C.CGPoint, inWindow: Swift.UInt32?, windowBounds: __C.CGRect?, windowUsesFlippedCoordinates: Swift.Bool) throws -> AccessibilitySupport.SynthesizedEvent
input-dispatch	D1	0000000100710f6c	T	$s20AccessibilitySupport17UIElementProtocolPAAE5click_5count5delay19alwaysSimulateClick2in3app13focusEnforcer13virtualCursorySo13CGMouseButtonV_Sis8DurationVSgSbAA06WindowC0VAA011ApplicationC0VAA017SyntheticAppFocusN0CSgAA07VirtualP0_pSgtYaKF	(extension in AccessibilitySupport):AccessibilitySupport.UIElementProtocol.click(_: __C.CGMouseButton, count: Swift.Int, delay: Swift.Duration?, alwaysSimulateClick: Swift.Bool, in: AccessibilitySupport.WindowUIElement, app: AccessibilitySupport.ApplicationUIElement, focusEnforcer: AccessibilitySupport.SyntheticAppFocusEnforcer?, virtualCursor: AccessibilitySupport.VirtualCursor?) async throws -> ()
ipc-server	D2	0000000100006728	T	$s11ComputerUse0aB9IPCServerC32terminatesWhenNoActiveIPCClients33_49BCD535C970AC4CF447BDF087883D90LLSbvpfi	variable initialization expression of ComputerUse.ComputerUseIPCServer.(terminatesWhenNoActiveIPCClients in _49BCD535C970AC4CF447BDF087883D90) : Swift.Bool
ipc-server	D2	000000010004f3a4	T	$s11ComputerUse0aB9IPCServerC16onCodexTurnEnded33_49BCD535C970AC4CF447BDF087883D90LLySScSgvpfi	variable initialization expression of ComputerUse.ComputerUseIPCServer.(onCodexTurnEnded in _49BCD535C970AC4CF447BDF087883D90) : ((Swift.String) -> ())?
ipc-server	D2	000000010004f9ac	T	$s11ComputerUse0aB9IPCServerC17clientExitSources33_49BCD535C970AC4CF447BDF087883D90LL2os21OSAllocatedUnfairLockVySDys5Int32VSo23OS_dispatch_source_proc_pGGvpfi	variable initialization expression of ComputerUse.ComputerUseIPCServer.(clientExitSources in _49BCD535C970AC4CF447BDF087883D90) : os.OSAllocatedUnfairLock<[Swift.Int32 : __C.OS_dispatch_source_proc]>
ipc-server	D2	000000010004f9c8	T	$s11ComputerUse0aB9IPCServerC11xpcSessions33_49BCD535C970AC4CF447BDF087883D90LL2os21OSAllocatedUnfairLockVySDy10Foundation4UUIDVAA0aB13IPCXPCSessionCGGvpfi	variable initialization expression of ComputerUse.ComputerUseIPCServer.(xpcSessions in _49BCD535C970AC4CF447BDF087883D90) : os.OSAllocatedUnfairLock<[Foundation.UUID : ComputerUse.ComputerUseIPCXPCSession]>
ipc-server	D2	000000010004fa40	T	$s11ComputerUse0aB9IPCServerC19senderAuthorization33_49BCD535C970AC4CF447BDF087883D90LLAA0ab9IPCSenderE0Vvpfi	variable initialization expression of ComputerUse.ComputerUseIPCServer.(senderAuthorization in _49BCD535C970AC4CF447BDF087883D90) : ComputerUse.ComputerUseIPCSenderAuthorization
ipc-server	D2	000000010004fb28	T	$s11ComputerUse0aB9IPCServerC21senderContextResolver33_49BCD535C970AC4CF447BDF087883D90LLAA0ab9IPCSendereF0Vvpfi	variable initialization expression of ComputerUse.ComputerUseIPCServer.(senderContextResolver in _49BCD535C970AC4CF447BDF087883D90) : ComputerUse.ComputerUseIPCSenderContextResolver
